,count,State,Users,Notes,Merge,Legacy URL,New URL,Title,Suggested Title,Jira Epic
28,5,Backlog,nan,"Good page, largely leave as-is with accordions for each Q+A.", ,https://www.mdwfp.com/parks-destinations/ms-state-parks-faq/,nan,MDWFP - MS State Parks FAQ,Mississippi State Parks Frequently Asked Questions,MDWFP-148
29,5,In Progress,Jim,"Good page. Suggest using accordions for the sections that are specific guidance for different trail users - equestrians, bicyclists, etc. Consider eliminating the signage imagery as it is cropped oddly and creates a lot of unnecessary height. ", ,https://www.mdwfp.com/parks-destinations/trails/,nan,MDWFP - Trails,nan,MDWFP-148
30,6,Backlog,nan,nan, ,https://www.mdwfp.com/parks-destinations/trails/search/,nan,MDWFP - Search,Search Trails,MDWFP-148
31,5,In Progress,Jim,Would definitely benefit from 1-2 sentence intro., ,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/,nan,MDWFP - Outdoor Recreational Grants,nan,MDWFP-148
32,6,Backlog,nan,There are not that many FAQs; move these to line 35 for consolidation., ,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/rtp-faqs/,nan,MDWFP - RTP FAQs,Recreational Trails Program Frequently Asked Questions,MDWFP-148
33,6,Backlog,nan,There are not that many FAQs; move these to line 35 for consolidation., ,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/lwcf-faqs/,nan,MDWFP - LWCF FAQs,Land and Water Conservation Fund Frequently Asked Questions,MDWFP-148
34,5,Backlog,nan,Should not be its own page. Incorporate into Parks and Destinations landing page!, ,https://www.mdwfp.com/parks-destinations/additional-resources/,nan,MDWFP - Additional Resources,nan,MDWFP-148
35,6,Backlog,nan,nan, ,https://www.mdwfp.com/parks-destinations/additional-resources/ms-state-parks-earn-national-rankings/,nan,MDWFP - MS State Parks Earn National Rankings,nan,MDWFP-148
36,5,Backlog,nan,nan, ,https://www.mdwfp.com/parks-destinations/bulletin-board/,nan,MDWFP - Bulletin Board,nan,MDWFP-148
37,5,In Progress,Jim,nan, ,https://www.mdwfp.com/parks-destinations/trail-safety/,nan,MDWFP - Trail Safety,nan,MDWFP-148
38,5,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/,nan,MDWFP - State Parks,nan,MDWFP-148
39,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/lefleurs-bluff/,nan,MDWFP - LeFleur's Bluff,LeFleur's Bluff State Park,MDWFP-148
40,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/holmes-county/,nan,MDWFP - Holmes County,Holmes County State Park,MDWFP-148
41,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/holmes-county/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
