URL,Title,Content Guidance,Suggested Title,State,Assignment,Jira Epic 
https://www.mdwfp.com/,"MS Wildlife, Fisheries, & Parks",,,,,
https://www.mdwfp.com/law-enforcement/,MDWFP - Law Enforcement,"Page will be transformed into a richer, more image-heavy and engaging landing page. See designs. ",,,,
https://www.mdwfp.com/law-enforcement/fallen-officers-memorial/,MDWFP - Fallen Officers Memorial,Recommend starting with an intro and carousel if at all possible. Video is also pretty important. ,,,,
https://www.mdwfp.com/law-enforcement/shootingfacilities/,MDWFP - ShootingFacilities,Possibly not needed - this only serves as a gateway to three facilities. This might just be consolidated with line 3. ,Frequently Asked Questions ,,,
https://www.mdwfp.com/law-enforcement/hunting-rules-regs/,MDWFP - Hunting Rules & Regs,"Important, and detailed, page, but is a wall of text. Needs more 'chunking' and visual interest. Possible accordions to manage space. ",Hunting Rules & Regulations,,,
https://www.mdwfp.com/law-enforcement/officer-courtesies/,MDWFP - Officer Courtesies,,,,,
https://www.mdwfp.com/law-enforcement/boating-rules-regs/,MDWFP - Boating Rules & Regs,"Currently this page is a list of links. Instead we should expose helpful content here, using primarily that found on 'General Boating Rules & Regulations'. TBD whether this page can include FAQs or if FAQs should be its own page. Checklist should be incorporated here too, rather than its own page. Most other links on the current page are PDFs or external, which can all remain links. ",Boating Rules & Regulations,,,
https://www.mdwfp.com/law-enforcement/boating-rules-regs/general-boating-rules-regulations/,MDWFP - General Boating Rules & Regulations,Consolidate with line 8. ,,,,
https://www.mdwfp.com/law-enforcement/boating-rules-regs/boating-check-list/,MDWFP - Boating Check List,Consolidate with line 8. ,,,,
https://www.mdwfp.com/law-enforcement/mcivor-shooting-facility/,MDWFP - McIvor Shooting Facility,,,,,
https://www.mdwfp.com/law-enforcement/ms-scholastic-shooting-program/,MDWFP - MS Scholastic Shooting Program,,,,,
https://www.mdwfp.com/law-enforcement/law-enforcement-careers/,MDWFP - Law Enforcement Careers,,,,,
https://www.mdwfp.com/law-enforcement/turcotte-shooting-facility/,MDWFP - Turcotte Shooting Facility,,,,,
https://www.mdwfp.com/law-enforcement/fishing-rules-regs/,MDWFP - Fishing Rules & Regs,"This page is reasonable length and volume. Most links should remain links, but would ideally be moved to the bottom (ie 'Additional Resources'). Imagery and other visual elements would help. Commercial Fishing should just be a link, not text on this page. ",Fishing Rules & Regulations,,,
https://www.mdwfp.com/law-enforcement/fishing-rules-regs/general-fishing-regs/,MDWFP - General Fishing Regs,This appears to be a DUPLICATE. Eliminate. ,Going to be eliminated ,,,
https://www.mdwfp.com/law-enforcement/boater-education/,MDWFP - Boater Education,This page is reasonable in length and volume. Actions / key links should be called out with a CTA or greater emphasis / prominence and the page could use some visual interest as well. Jump links are unnecessary. ,,,,
https://www.mdwfp.com/law-enforcement/boater-education/online-boaters-ed/,MDWFP - Online Boaters Ed,This appears to be largely a DUPLICATE. Consolidate with 17 / eliminate.,Going to be eliminated ,,,
https://www.mdwfp.com/law-enforcement/shooting-facilities/,MDWFP - Shooting Facilities,,,,,
https://www.mdwfp.com/law-enforcement/mchenry-shooting-facility/,MDWFP - McHenry Shooting Facility,,,,,
https://www.mdwfp.com/law-enforcement/shooting-facilities,MDWFP - Shooting Facilities,,,,,
https://www.mdwfp.com/law-enforcement/photo-albums/turcotte-shooting-range/,MDWFP - Turcotte Shooting Range,,,,,
https://www.mdwfp.com/law-enforcement/photo-albums/mchenry-shooting-range/,MDWFP - McHenry Shooting Range,,,,,
https://www.mdwfp.com/law-enforcement/turcotte-shooting-facility,MDWFP - Turcotte Shooting Facility,"This page provides thorough and comprehensive information but would benefit from re-ordering. Key details about visiting the facility should be surfaced first (ie location/address, fees, and hours) followed by other qualitative infornation including the video. ",,,,
https://www.mdwfp.com/law-enforcement/ms-scholastic-shooting-program.aspx,MDWFP - MS Scholastic Shooting Program,,,,,
https://www.mdwfp.com/law-enforcement/faq/,MDWFP - FAQ,"Good page, largely leave as-is with accordions for each Q+A.",Frequently Asked Questions ,,,
https://www.mdwfp.com/parks-destinations/,MDWFP - Parks & Destinations,,,,,
https://www.mdwfp.com/parks-destinations/tentrr/,MDWFP - Tentrr,Not a high-value page. ,Tentrr Camping Services ,,,
https://www.mdwfp.com/parks-destinations/tentrr/tentrr/tentrr-at-ms-state-parks/,MDWFP - Tentrr at MS State Parks,Use /parks-destinations/tentrr as the URL rather than this longer one. Page content is quite good. Use a carousel for the imagery near the bottom. Consider cards or something more graphical for the list of parks where tentrr reservations can be used. ,Tentrr at Mississippi State Parks,,,
https://www.mdwfp.com/parks-destinations/ms-state-parks-faq/,MDWFP - MS State Parks FAQ,"Good page, largely leave as-is with accordions for each Q+A.",Mississippi State Parks Frequently Asked Questions,,,
https://www.mdwfp.com/parks-destinations/trails/,MDWFP - Trails,"Good page. Suggest using accordions for the sections that are specific guidance for different trail users - equestrians, bicyclists, etc. Consider eliminating the signage imagery as it is cropped oddly and creates a lot of unnecessary height. ",,,,
https://www.mdwfp.com/parks-destinations/trails/search/,MDWFP - Search,,Search Trails,,,
https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/,MDWFP - Outdoor Recreational Grants,Would definitely benefit from 1-2 sentence intro. ,,,,
https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/rtp-faqs/,MDWFP - RTP FAQs,There are not that many FAQs; move these to line 35 for consolidation. ,Recreational Trails Program Frequently Asked Questions ,,,
https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/lwcf-faqs/,MDWFP - LWCF FAQs,There are not that many FAQs; move these to line 35 for consolidation. ,Land and Water Conservation Fund Frequently Asked Questions ,,,
https://www.mdwfp.com/parks-destinations/additional-resources/,MDWFP - Additional Resources,Should not be its own page. Incorporate into Parks and Destinations landing page!,,,,
https://www.mdwfp.com/parks-destinations/additional-resources/ms-state-parks-earn-national-rankings/,MDWFP - MS State Parks Earn National Rankings,,,,,
https://www.mdwfp.com/parks-destinations/bulletin-board/,MDWFP - Bulletin Board,,,,,
https://www.mdwfp.com/parks-destinations/trail-safety/,MDWFP - Trail Safety,,,,,
